CPU times,RSS memory,VMS memory,Shared memory,Text segment,Data segment,Library code,Memory Percent
0.07,3146472.727272727,4975895.2727272725,2072203.6363636365,7819.636363636364,1287633.4545454546,0.0,0.038544345796750264
0.1,2039150.734883721,6191008.7441860465,1863432.3348837208,16345.897674418604,400474.49302325584,0.0,0.024982588593012795
0.76,10622455.178497588,17446501.270847693,2148951.8621640247,8163.771192281185,11674715.037904894,0.0,0.13014066249852632
1.26,4249667.147540984,7284030.950819672,3054944.524590164,20312.131147540982,1519448.1311475409,0.0,0.05206465818737685
0.03,3606528.0,5864448.0,2347008.0,9216.0,1517568.0,0.0,0.04418525993779438
0.15,1961419.6622222222,6177860.266666667,1786074.4533333334,16311.182222222222,399623.96444444446,0.0,0.02403026889639838
0.81,12141268.84515637,19241127.151792526,2279625.519450801,8173.254004576659,13462636.570556827,0.0,0.14874835850376802
4.22,6305328.0366132725,9354701.6201373,2838218.691075515,19074.05034324943,3938767.9633867275,0.0,0.07724952039491231
0.3,7161680.457142857,9537477.485714287,2708041.1428571427,10181.485714285714,4735210.057142857,0.0,0.08774109409112571
0.05,1993993.4814814816,6090524.444444444,1817106.962962963,16080.592592592593,393974.51851851854,0.0,0.02442934597860516
0.75,11039613.006877579,17669651.015130673,2247841.9807427786,8163.829436038514,11897823.603851445,0.0,0.13525145800103136
4.3,7027561.484337349,9957257.561445784,3018051.238554217,20282.602409638555,4201054.997590361,0.0,0.0860979398785425
3.12,16451890.179401994,19400302.564784054,3113585.9667774085,12083.880398671095,13700738.976744186,0.0,0.2015597949176962
0.28,2013105.1093990754,6186316.918335902,1833436.499229584,16333.510015408321,400170.99537750386,0.0,0.024663491463507093
0.78,10819468.186113099,17637493.279885467,2256435.676449535,8150.952040085898,11874770.187544739,0.0,0.13254875720566334
4.61,7153239.639639639,10137609.225225225,3123402.954954955,20387.747747747748,4351566.414414414,0.0,0.08763768169131461
1.45,16762516.879432624,19546024.85106383,3218090.6666666665,12113.702127659575,13832395.34751773,0.0,0.2053654277824539
0.19,1862807.626774848,5933525.419878297,1690509.7606490871,15652.868154158215,387566.3448275862,0.0,0.022822126766561104
0.8400000000000001,6371433.775824176,12084471.56043956,2021585.301098901,8187.498901098901,6295909.837362638,0.0,0.07805229898512189
5.37,6933984.0,10069184.0,3143672.0,20440.0,4268312.0,0.0,0.08495147838710992
2.5,20789595.118644066,23763395.254237287,3067036.2033898304,12235.93220338983,17992113.898305085,0.0,0.2547030452331977
0.63,1932409.4915254237,6163369.220338983,1753407.3491525424,16272.922033898305,398686.58983050846,0.0,0.0236748517381016
0.86,10404151.482889734,17336654.844106466,2185901.2623574142,8176.425855513308,11555921.764258554,0.0,0.12746612190552015
1.41,4174251.9402985075,7276971.940298508,3034218.9850746267,20174.328358208953,1551497.552238806,0.0,0.05114071124026554
1.02,9667193.402061855,12388710.927835051,3222665.237113402,12161.319587628866,6652621.855670103,0.0,0.11843730406059078
0.46,1978213.1092436975,6179366.722689075,1798746.3529411764,16315.159663865546,399721.4117647059,0.0,0.02423601326380541
0.7100000000000001,10695071.929359823,17424827.05518764,2197716.485651214,8173.916114790287,11645868.362030905,0.0,0.13108704210569094
0.32,3374046.9677419355,6279300.129032258,3036325.1612903224,19819.354838709678,654567.2258064516,0.0,0.04133702616810526
0.72,11998846.144927537,14682438.492753623,3217081.507246377,12109.91304347826,8970596.173913043,0.0,0.14700347144600726
0.08,1892457.0256410257,5887212.307692308,1721475.282051282,15543.794871794871,380822.9743589744,0.0,0.023185375407886455
1.1600000000000001,9310359.703703703,15808212.584795322,2105551.59454191,8176.03118908382,10027758.53411306,0.0,0.11406556766577562
5.52,7094594.953846154,10018233.107692307,3143766.6461538463,20440.615384615383,4217186.461538462,0.0,0.0869191982397083
0.14,7602995.2,10293521.066666666,2927820.8,11468.8,4884070.4,0.0,0.09314784724194652
0.16,1935107.506849315,6120433.97260274,1757352.3287671234,16159.561643835616,395909.2602739726,0.0,0.023707906384676427
1.19,10726370.742857143,17574972.764835164,2211731.973626374,8173.9956043956045,11795957.872527473,0.0,0.13141378063952236
3.27,5792134.095238095,8759146.463492064,2980587.6825396824,20414.984126984127,2965373.9682539683,0.0,0.07096214159231748
0.13,7599250.285714285,10170368.0,3031332.5714285714,11410.285714285714,4788516.571428572,0.0,0.09310196654695149
0.07,1945173.3333333333,6076160.0,1768704.0,16042.666666666666,393045.3333333333,0.0,0.023831227528914024
0.98,10700096.42013129,18051573.916849017,2132850.8358862144,8174.074398249453,12272503.317286652,0.0,0.1311553503462969
5.82,7441840.598930481,10421866.780748663,3095144.95543672,20443.49376114082,4620003.251336899,0.0,0.0911734669131572
0.17,7633016.470588235,10462629.647058824,2999235.7647058824,11565.176470588236,5007721.411764706,0.0,0.09351565185752256
0.08,1927529.4117647058,6083764.705882353,1754854.9019607843,16062.745098039215,393537.2549019608,0.0,0.02361506360038449
1.25,10987163.465587044,17894445.603238866,2223655.3846153845,8175.417004048583,12114425.781376518,0.0,0.13460887415985723
1.77,4266666.666666667,7446113.523809524,3086287.238095238,20358.095238095237,1668486.0952380951,0.0,0.05227292724043447
0.45,7337364.837209302,10173892.46511628,3044566.3255813955,12002.232558139534,4512839.441860465,0.0,0.08989348553249138
0.45,1985161.8461538462,6175606.153846154,1805804.3076923077,16305.23076923077,399478.1538461539,0.0,0.024321145486988906
0.86,10012917.76,16865465.397894736,2137680.8421052634,8174.753684210526,11085914.543157894,0.0,0.12267293473428138
5.02,6470967.2788259955,9602063.027253669,3094171.6394129978,20437.06498951782,3802023.9832285116,0.0,0.07927884415811774
1.35,14980647.384615384,17919243.815384615,3162112.0,12193.476923076923,12167987.2,0.0,0.18353491189467228
0.15,1917235.2,6127872.0,1743308.8,16179.2,396390.4,0.0,0.023488944401343675
1.28,9835275.088512242,16174224.63276836,2152397.8606403014,8176.572504708098,10393387.871939735,0.0,0.12049655134956037
5.35,6553737.612648222,9754389.249011857,3098632.09486166,20439.525691699604,3953651.85770751,0.0,0.08029290219817034
0.96,16691655.111111112,19574601.955555554,3147047.822222222,12151.466666666667,13843160.177777778,0.0,0.20449726714348482
0.31,1934280.6486486488,6080844.108108108,1761695.1351351351,16051.891891891892,394240.0,0.0,0.023697776158450975
1.1600000000000001,10186360.662420383,17006792.016985137,2173297.5966029726,8174.607218683652,11227344.713375796,0.0,0.12479786478551347
8.54,9708954.841212122,12845557.44969697,3076458.433939394,20455.17575757576,7040378.569696969,0.0,0.11895295752846889
2.42,19327230.901287552,22298026.300429184,3013038.69527897,12182.523605150214,16551936.0,0.0,0.23678693781142568
0.22,1921892.8484848484,6142758.787878788,1747543.9191919193,16218.505050505051,397353.37373737374,0.0,0.02354600742955308
